fotocompuerta,cronometro,tracker
2.016,2.12,2.017
2.016,2.22,2.021
2.017,1.97,2.022
2.017,2.09,2.013
2.016,2.03,2.019
2.016,2.07,2.017
2.016,1.94,2.02
2.016,2.09,2.019
2.015,1.97,2.019
2.016,1.94,2.019
2.016,2.06,2.016
2.016,2.0,2.02
2.016,2.0,2.019
2.015,2.03,2.017
2.016,2.03,2.021
2.015,2.12,2.017
2.016,2.06,2.016
2.017,1.97,2.02
2.016,1.94,2.019
2.012,2.06,2.016
2.016,1.97,2.019
2.013,1.94,2.019
2.015,2.18,2.016
2.014,1.97,2.019
2.015,2.13,2.019
2.015,1.97,2.018
2.016,2.0,2.015
2.014,2.0,2.02
2.016,1.96,2.02
2.014,2.12,2.018
