persona,periodo,vuelta,observador 1,observador 2,observador 3
Yam,1,1,,8.55,10.61
Yam,2,1,,7.54,9.92
Yam,3,1,,10.65,10.4
Yam,4,1,,10.82,10.95
Yam,5,1,,9.98,10.06
Yam,6,1,,10.06,10.81
Yam,7,1,,9.62,8.75
Yam,8,1,,8.31,9.09
Yam,9,1,,8.59,10.33
Yam,1,2,10.53,8.66,9.26
Yam,2,2,9.61,11.09,9.86
Yam,3,2,9.82,9.69,7.66
Yam,4,2,9.77,9.44,11.36
Yam,5,2,9.49,9.82,9.74
Yam,6,2,9.67,9.29,9.49
Yam,7,2,9.99,10.23,10.35
Yam,8,2,9.66,10.18,8.82
Yam,9,2,9.72,9.77,10.44
Yam,1,3,9.22,10.45,6.75
Yam,2,3,11.12,8.69,7.34
Yam,3,3,8.07,10.31,7.13
Yam,4,3,9.69,9.44,6.46
Yam,5,3,9.54,9.64,7.03
Yam,6,3,9.54,9.38,6.78
Yam,7,3,9.99,9.54,7.04
Yam,8,3,9.88,9.67,7.38
Yam,9,3,9.07,9.77,7.24
Angel,1,1,7.74,8.1,7.24
Angel,2,1,7.12,6.54,7.38
Angel,3,1,7.18,7.77,7.04
Angel,4,1,6.9,6.1,6.78
Angel,5,1,6.78,6.9,7.03
Angel,6,1,6.92,7.49,6.46
Angel,7,1,6.71,6.05,7.13
Angel,8,1,7.2,7.14,7.34
Angel,9,1,7.29,7.48,6.75
Angel,1,2,7.18,7.86,7.01
Angel,2,2,6.96,6.26,7.06
Angel,3,2,6.95,6.74,6.56
Angel,4,2,6.87,6.96,7
Angel,5,2,6.57,6.65,6.99
Angel,6,2,6.61,6.68,6.31
Angel,7,2,6.93,6.59,6.65
Angel,8,2,6.61,7.01,6.6
Angel,9,2,6.71,6.69,6.91
Angel,1,3,7.14,5.54,6.79
Angel,2,3,6.17,7.75,6.86
Angel,3,3,6.66,6.04,6.89
Angel,4,3,6.73,6.86,7.44
Angel,5,3,6.75,6.57,6.25
Angel,6,3,6.89,6.71,6.95
Angel,7,3,6.63,6.64,6.55
Angel,8,3,6.8,7.08,6.97
Angel,9,3,6.86,6.96,6.37
Ricardo,1,1,6.01,6.45,5.95
Ricardo,2,1,6.53,6.61,6.75
Ricardo,3,1,6.72,6.85,6.61
Ricardo,4,1,6.88,6.98,6.84
Ricardo,5,1,7.11,7.19,7.25
Ricardo,6,1,7.17,6.9,6.91
Ricardo,7,1,7.14,7.11,7.33
Ricardo,8,1,6.84,7.54,6.81
Ricardo,9,1,7.14,6.38,7.11
Ricardo,1,2,7.12,6.82,7.41
Ricardo,2,2,6.57,6.8,6.83
Ricardo,3,2,6.75,7.44,5.95
Ricardo,4,2,7.11,7.07,7.88
Ricardo,5,2,6.97,7.05,6.93
Ricardo,6,2,7.28,7.21,6.86
Ricardo,7,2,6.68,6.46,7.22
Ricardo,8,2,6.89,6.87,7.28
Ricardo,9,2,7.23,7,6.75
Ricardo,1,3,7.09,7,6.98
Ricardo,2,3,6.94,,6.5
Ricardo,3,3,7.07,,7.24
Ricardo,4,3,7.29,,7.08
Ricardo,5,3,7.06,,7.28
Ricardo,6,3,6.79,,7.01
Ricardo,7,3,6.87,6.46,6.43
Ricardo,8,3,6.79,6.87,6.79
Ricardo,9,3,7.15,7,7.13
