t;mass A;mass B;mass C;mass D;mass E;mass F;mass G;mass H;mass I;mass J;mass K;mass L;mass M;mass N;mass O
0.000000E0;7.840498E-2;;;;;;;;;;;;;;
3.334453E-2;7.841789E-2;;;;;;;;;;;;;;
6.668905E-2;7.856228E-2;;;;;;;;;;;;;;
1.000336E-1;7.836279E-2;;;;;;;;;;;;;;
1.333781E-1;7.837371E-2;;;;;;;;;;;;;;
1.667226E-1;7.834880E-2;;;;;;;;;;;;;;
2.000672E-1;7.835137E-2;;;;;;;;;;;;;;
2.334117E-1;7.818097E-2;;;;;;;;;;;;;;
2.667562E-1;7.824461E-2;;;;;;;;;;;;;;
3.001007E-1;7.886554E-2;;;;;;;;;;;;;;
3.334453E-1;7.894997E-2;;;;;;;;;;;;;;
3.667898E-1;7.879187E-2;;;;;;;;;;;;;;
4.001343E-1;7.863944E-2;;;;;;;;;;;;;;
4.334788E-1;7.877969E-2;;;;;;;;;;;;;;
4.668234E-1;8.200906E-2;;;;;;;;;;;;;;
5.001679E-1;9.249146E-2;;;;;;;;;;;;;;
5.335124E-1;1.087426E-1;;;;;;;;;;;;;;
5.668569E-1;1.251119E-1;;;;;;;;;;;;;;
6.002015E-1;1.416649E-1;;;;;;;;;;;;;;
6.335460E-1;1.596145E-1;;;;;;;;;;;;;;
6.668905E-1;1.757815E-1;;;;;;;;;;;;;;
7.002350E-1;1.924227E-1;;;;;;;;;;;;;;
7.335796E-1;2.089706E-1;;;;;;;;;;;;;;
7.669241E-1;2.258821E-1;;;;;;;;;;;;;;
8.002686E-1;2.432527E-1;;;;;;;;;;;;;;
8.336131E-1;2.602192E-1;;;;;;;;;;;;;;
8.669577E-1;2.768415E-1;;;;;;;;;;;;;;
9.003022E-1;2.930473E-1;;;;;;;;;;;;;;
9.336467E-1;3.096710E-1;;;;;;;;;;;;;;
9.669912E-1;3.273981E-1;;;;;;;;;;;;;;
1.000336E0;3.461853E-1;;;;;;;;;;;;;;
1.033680E0;3.633905E-1;;;;;;;;;;;;;;
1.067025E0;3.813696E-1;;;;;;;;;;;;;;
1.100369E0;3.993290E-1;;;;;;;;;;;;;;
1.133714E0;4.168130E-1;;;;;;;;;;;;;;
1.167058E0;4.342861E-1;;;;;;;;;;;;;;
1.200403E0;4.524585E-1;;;;;;;;;;;;;;
1.233747E0;4.705556E-1;;;;;;;;;;;;;;
1.267092E0;4.884080E-1;;;;;;;;;;;;;;
1.300437E0;5.064893E-1;;;;;;;;;;;;;;
1.333781E0;5.244877E-1;;;;;;;;;;;;;;
1.367126E0;5.428471E-1;;;;;;;;;;;;;;
1.400470E0;5.608370E-1;;;;;;;;;;;;;;
1.433815E0;5.794542E-1;;;;;;;;;;;;;;
1.467159E0;5.979773E-1;;;;;;;;;;;;;;
1.500504E0;6.168688E-1;;;;;;;;;;;;;;
1.533848E0;6.352376E-1;;;;;;;;;;;;;;
1.567193E0;6.538505E-1;;;;;;;;;;;;;;
1.600537E0;6.724769E-1;;;;;;;;;;;;;;
1.633882E0;6.913839E-1;;;;;;;;;;;;;;
1.667226E0;7.104544E-1;;;;;;;;;;;;;;
1.700571E0;7.294033E-1;;;;;;;;;;;;;;
1.733915E0;7.484184E-1;;;;;;;;;;;;;;
1.767260E0;7.682888E-1;;;;;;;;;;;;;;
1.800604E0;7.877795E-1;;;;;;;;;;;;;;
1.833949E0;8.075119E-1;;;;;;;;;;;;;;
1.867293E0;8.276387E-1;;;;;;;;;;;;;;
1.900638E0;8.477161E-1;;;;;;;;;;;;;;
1.933982E0;8.679990E-1;;;;;;;;;;;;;;
1.967327E0;8.883935E-1;;;;;;;;;;;;;;
