t,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y,F_x,F_y
6.600656E0,1.645570E-3,1.018908E-3,,,,,,,,,,
6.633992E0,2.507580E-3,1.097357E-3,,,,,,,,,,
6.667329E0,1.684795E-3,5.879029E-4,,,,,,,,,,
6.700666E0,1.684795E-3,5.879029E-4,,,,,,,,,,
6.734002E0,1.684795E-3,5.879029E-4,,,,,,,,,,
6.767339E0,5.250507E-3,-3.913155E-4,,,,,,,,,,
6.800676E0,9.051102E-3,8.237148E-4,,,,,,,,,,
6.834012E0,1.160874E-2,1.315610E-3,,,,,,,,,,
6.867349E0,1.698480E-2,1.804870E-3,,,,,,,,,,
6.900686E0,2.326866E-2,8.280064E-4,,,,,,,,,,
6.934022E0,3.028558E-2,3.050418E-4,,,,,,,,,,
6.967359E0,3.798314E-2,8.119822E-4,,,,,,,,,,
7.000696E0,4.627418E-2,1.179341E-3,,,,,,,,,,
7.034032E0,5.617113E-2,9.184801E-4,,,,,,,,,,
7.067369E0,6.720262E-2,9.544625E-4,,,,,,,,,,
7.100706E0,7.823411E-2,9.904450E-4,,,,,,,,,,
7.134042E0,9.261680E-2,2.492965E-3,,,,,,,,,,
7.167379E0,1.060397E-1,1.778619E-3,,,,,,,,,,
7.200715E0,1.184851E-1,1.168908E-3,,,,,,,,,,
7.234052E0,1.351196E-1,1.327619E-3,,,,,,,,,,
7.267389E0,1.485425E-1,6.132736E-4,,,,,,,,,,
7.300725E0,1.658229E-1,5.639714E-5,,,,,,,,,,
7.334062E0,1.832778E-1,-2.910036E-4,,,,,,,,,,
7.367399E0,2.034905E-1,9.677143E-4,,,,,,,,,,
7.400735E0,2.266880E-1,1.336523E-3,,,,,,,,,,
7.434072E0,2.479830E-1,1.338593E-3,,,,,,,,,,
7.467409E0,2.653855E-1,1.567199E-3,,,,,,,,,,
7.500745E0,2.924931E-1,-6.120272E-4,,,,,,,,,,
7.534082E0,3.146083E-1,1.013429E-3,,,,,,,,,,
7.567419E0,3.437057E-1,3.704266E-4,,,,,,,,,,
7.600755E0,3.677584E-1,1.978616E-3,,,,,,,,,,
7.634092E0,3.935743E-1,1.230565E-3,,,,,,,,,,
7.667428E0,4.205943E-1,2.140847E-3,,,,,,,,,,
7.700765E0,4.500233E-1,2.108799E-3,,,,,,,,,,
7.734102E0,4.775148E-1,2.094017E-3,,,,,,,,,,
7.767438E0,5.067867E-1,1.660491E-3,,,,,,,,,,
7.800775E0,5.383277E-1,1.820652E-3,,,,,,,,,,
7.834112E0,5.701305E-1,1.230278E-3,,,,,,,,,,
7.867448E0,6.032075E-1,1.530227E-3,,,,,,,,,,
7.900785E0,6.331950E-1,1.742602E-3,,,,,,,,,,
7.934122E0,6.704611E-1,2.810974E-3,,,,,,,,,,
7.967458E0,7.072563E-1,5.454152E-4,,,,,,,,,,
8.000795E0,7.410314E-1,1.683268E-3,,,,,,,,,,
8.034132E0,7.801059E-1,1.897844E-3,,,,,,,,,,
8.067468E0,8.203073E-1,1.862570E-3,,,,,,,,,,
8.100805E0,8.594507E-1,1.513733E-3,,,,,,,,,,
8.134142E0,8.987901E-1,1.400010E-3,,,,,,,,,,
8.167478E0,9.403134E-1,3.705962E-4,,,,,,,,,,
8.200815E0,9.836422E-1,1.386551E-3,,,,,,,,,,
8.234151E0,1.025388E0,1.038700E-3,,,,,,,,,,
8.267488E0,1.068211E0,2.252556E-3,,,,,,,,,,
8.300825E0,1.111452E0,1.552940E-3,,,,,,,,,,
8.334161E0,1.171738E0,1.184897E-3,,,,,,,,,,
8.367498E0,,,,,,,,,,,,
8.400835E0,,,,,,,,,,,,
8.434171E0,,,,,,,,,,,,
8.467508E0,,,,,,,,,,,,
8.500845E0,,,,,,,,,,,,
8.534181E0,,,,,,,,,,,,
8.567518E0,,,,,,,,,,,,
8.600855E0,,,,,,,,,,,,
8.634191E0,,,,,,,,,,,,
8.667528E0,,,,,,,,,,,,
8.700864E0,,,,,,,,,,,,
8.734201E0,,,,,,,,,,,,
8.767538E0,,,,,,,,,,,,
8.800874E0,,,,,,,,,,,,
8.834211E0,,,,,,,,,,,,
8.867548E0,,,,,,,,,,,,
8.900884E0,,,,,,,,,,,,
8.934221E0,,,,,,,,,,,,
8.967558E0,,,,,,,,,,,,
9.000894E0,,,,,,,,,,,,
9.034231E0,,,,,,,,,,,,
9.067568E0,,,,,,,,,,,,
9.100904E0,,,,,,,,,,,,
9.134241E0,,,,,,,,,,,,
9.167578E0,,,,,,,,,,,,
9.200914E0,,,,,,,,,,,,
9.234251E0,,,,,,,,,,,,
9.267587E0,,,,,,,,,,,,
9.300924E0,,,,,,,,,,,,
9.334261E0,,,,,,,,,,,,
9.367597E0,,,,,,,,,,,,
9.400934E0,,,,,,,,,,,,
9.434271E0,,,,,,,,,,,,
9.467607E0,,,,,,,,,,,,
9.500944E0,,,,,,,,,,,,
9.534281E0,,,,,,,,,,,,
9.567617E0,,,,,,,,,,,,
9.600954E0,,,,,,,,,,,,
9.634291E0,,,,,,,,,,,,
9.667627E0,,,,,,,,,,,,
9.700964E0,,,,,,,,,,,,
9.734301E0,,,,,,,,,,,,
9.767637E0,,,,,,,,,,,,
9.800974E0,,,,,,,,,,,,
9.834310E0,,,,,,,,,,,,
9.867647E0,,,,,,,,,,,,
9.900984E0,,,,,,,,,,,,
9.934320E0,,,,,,,,,,,,
