t,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y,F_x,F_y
2.063621E1,6.221623E-4,1.326600E-3,,,,,,,,,,
2.066955E1,1.005894E-3,1.349398E-3,,,,,,,,,,
2.070289E1,1.197760E-3,1.360797E-3,,,,,,,,,,
2.073623E1,1.197760E-3,1.360797E-3,,,,,,,,,,
2.076957E1,2.168488E-3,1.225926E-3,,,,,,,,,,
2.080290E1,4.651344E-3,1.565978E-3,,,,,,,,,,
2.083624E1,7.348864E-3,1.533697E-3,,,,,,,,,,
2.086958E1,9.877316E-3,1.106286E-3,,,,,,,,,,
2.090292E1,1.313903E-2,1.300068E-3,,,,,,,,,,
2.093626E1,1.757475E-2,1.178511E-3,,,,,,,,,,
2.096959E1,2.220232E-2,1.068354E-3,,,,,,,,,,
2.100293E1,2.778923E-2,1.015191E-3,,,,,,,,,,
2.103627E1,3.451593E-2,1.222288E-3,,,,,,,,,,
2.106961E1,4.124263E-2,1.429385E-3,,,,,,,,,,
2.110295E1,4.819540E-2,1.072283E-3,,,,,,,,,,
2.113628E1,5.685216E-2,1.201503E-3,,,,,,,,,,
2.116962E1,6.473005E-2,1.476993E-3,,,,,,,,,,
2.120296E1,7.418847E-2,1.076212E-3,,,,,,,,,,
2.123630E1,8.338663E-2,1.815226E-3,,,,,,,,,,
2.126964E1,9.497837E-2,1.156101E-3,,,,,,,,,,
2.130297E1,1.047977E-1,1.161849E-3,,,,,,,,,,
2.133631E1,1.172690E-1,1.902780E-3,,,,,,,,,,
2.136965E1,1.290184E-1,1.830651E-3,,,,,,,,,,
2.140299E1,1.417499E-1,1.431786E-3,,,,,,,,,,
2.143633E1,1.565464E-1,1.925772E-3,,,,,,,,,,
2.146966E1,1.705754E-1,2.374162E-3,,,,,,,,,,
2.150300E1,1.856321E-1,1.728352E-3,,,,,,,,,,
2.153634E1,2.010612E-1,1.297206E-3,,,,,,,,,,
2.156968E1,2.158919E-1,1.215594E-3,,,,,,,,,,
2.160301E1,2.324265E-1,1.620305E-3,,,,,,,,,,
2.163635E1,2.501921E-1,7.503482E-4,,,,,,,,,,
2.166969E1,2.684194E-1,1.833246E-3,,,,,,,,,,
2.170303E1,2.874711E-1,2.002411E-3,,,,,,,,,,
2.173637E1,3.055977E-1,1.538984E-3,,,,,,,,,,
2.176970E1,3.252250E-1,1.742346E-3,,,,,,,,,,
2.180304E1,3.467710E-1,2.059697E-3,,,,,,,,,,
2.183638E1,3.673918E-1,1.744456E-3,,,,,,,,,,
2.186972E1,3.875947E-1,1.982015E-3,,,,,,,,,,
2.190306E1,4.122789E-1,1.330554E-3,,,,,,,,,,
2.193639E1,4.357435E-1,1.761894E-3,,,,,,,,,,
2.196973E1,4.563302E-1,2.022250E-3,,,,,,,,,,
