t,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y
9.037669E0,1.128606E-3,-1.594635E-3,,,,,,,,
9.071018E0,1.128372E-3,-1.580695E-3,,,,,,,,
9.104367E0,1.143609E-3,-1.576694E-3,,,,,,,,
9.137717E0,1.121798E-3,-1.577565E-3,,,,,,,,
9.171066E0,1.127142E-3,-1.579211E-3,,,,,,,,
9.204415E0,1.306908E-3,-1.566271E-3,,,,,,,,
9.237765E0,2.158480E-3,-1.528717E-3,,,,,,,,
9.271114E0,3.005756E-3,-1.492819E-3,,,,,,,,
9.304463E0,4.355637E-3,-1.434974E-3,,,,,,,,
9.337813E0,5.728051E-3,-1.532451E-3,,,,,,,,
9.371162E0,7.435956E-3,-1.498556E-3,,,,,,,,
9.404511E0,9.331315E-3,-1.423833E-3,,,,,,,,
9.437861E0,1.154026E-2,-1.376829E-3,,,,,,,,
9.471210E0,1.401336E-2,-1.320658E-3,,,,,,,,
9.504559E0,1.677447E-2,-1.271505E-3,,,,,,,,
9.537909E0,1.974866E-2,-1.217757E-3,,,,,,,,
9.571258E0,2.284586E-2,-1.196433E-3,,,,,,,,
9.604607E0,2.661788E-2,-1.184178E-3,,,,,,,,
9.637957E0,3.032383E-2,-1.249751E-3,,,,,,,,
9.671306E0,3.405247E-2,-1.249234E-3,,,,,,,,
9.704655E0,3.800128E-2,-1.216125E-3,,,,,,,,
9.738005E0,4.226592E-2,-1.269498E-3,,,,,,,,
9.771354E0,4.700853E-2,-1.282170E-3,,,,,,,,
9.804703E0,5.180524E-2,-1.244812E-3,,,,,,,,
9.838053E0,5.708755E-2,-1.128813E-3,,,,,,,,
9.871402E0,6.229158E-2,-1.057611E-3,,,,,,,,
9.904751E0,6.787353E-2,-1.062541E-3,,,,,,,,
9.938101E0,7.377096E-2,-1.094253E-3,,,,,,,,
9.971450E0,7.976126E-2,-1.046887E-3,,,,,,,,
1.000480E1,8.599698E-2,-1.050164E-3,,,,,,,,
1.003815E1,9.211066E-2,-9.651646E-4,,,,,,,,
1.007150E1,9.857735E-2,-1.041290E-3,,,,,,,,
1.010485E1,1.056692E-1,-9.900312E-4,,,,,,,,
1.013820E1,1.128094E-1,-1.055266E-3,,,,,,,,
1.017155E1,1.202915E-1,-9.842961E-4,,,,,,,,
1.020490E1,1.274257E-1,-1.072899E-3,,,,,,,,
1.023824E1,1.349720E-1,-9.998922E-4,,,,,,,,
1.027159E1,1.430146E-1,-1.083533E-3,,,,,,,,
1.030494E1,1.510582E-1,-9.146989E-4,,,,,,,,
1.033829E1,1.594590E-1,-9.883951E-4,,,,,,,,
1.037164E1,1.682876E-1,-1.031593E-3,,,,,,,,
1.040499E1,1.770091E-1,-9.138508E-4,,,,,,,,
1.043834E1,1.860131E-1,-1.007539E-3,,,,,,,,
1.047169E1,1.950854E-1,-8.744252E-4,,,,,,,,
1.050504E1,2.050916E-1,-9.092804E-4,,,,,,,,
1.053839E1,2.147991E-1,-9.174840E-4,,,,,,,,
1.057174E1,2.245914E-1,-8.263379E-4,,,,,,,,
1.060509E1,2.349105E-1,-8.775032E-4,,,,,,,,
1.063844E1,2.455265E-1,-8.680451E-4,,,,,,,,
1.067179E1,2.563547E-1,-9.157454E-4,,,,,,,,
1.070514E1,2.672714E-1,-1.083270E-3,,,,,,,,
1.073848E1,2.779697E-1,-8.337250E-4,,,,,,,,
1.077183E1,2.900518E-1,-9.030368E-4,,,,,,,,
1.080518E1,3.012107E-1,-8.761569E-4,,,,,,,,
1.083853E1,3.132482E-1,-8.412570E-4,,,,,,,,
1.087188E1,3.254936E-1,-7.820007E-4,,,,,,,,
1.090523E1,3.373826E-1,-1.009593E-3,,,,,,,,
1.093858E1,3.508998E-1,-1.059852E-3,,,,,,,,
1.097193E1,3.637531E-1,-1.023298E-3,,,,,,,,
1.100528E1,3.766417E-1,-1.116481E-3,,,,,,,,
1.103863E1,3.901099E-1,-1.094357E-3,,,,,,,,
1.107198E1,4.033546E-1,-9.542462E-4,,,,,,,,
1.110533E1,4.168979E-1,-8.307223E-4,,,,,,,,
1.113868E1,4.307689E-1,-8.061476E-4,,,,,,,,
1.117203E1,4.453087E-1,-8.367589E-4,,,,,,,,
1.120538E1,4.595609E-1,-6.514842E-4,,,,,,,,
1.123872E1,4.743106E-1,-6.705218E-4,,,,,,,,
1.127207E1,4.888318E-1,-6.693364E-4,,,,,,,,
1.130542E1,5.036349E-1,-6.796717E-4,,,,,,,,
1.133877E1,5.196946E-1,-7.526531E-4,,,,,,,,
1.137212E1,5.333797E-1,-7.387821E-4,,,,,,,,
1.140547E1,5.491107E-1,-5.025530E-4,,,,,,,,
1.143882E1,5.652212E-1,-5.810274E-4,,,,,,,,
1.147217E1,5.810110E-1,-3.712869E-4,,,,,,,,
1.150552E1,5.971520E-1,-3.366266E-4,,,,,,,,
1.153887E1,6.130805E-1,-3.837929E-4,,,,,,,,
1.157222E1,6.297176E-1,-4.217798E-4,,,,,,,,
1.160557E1,6.457719E-1,-4.115356E-4,,,,,,,,
1.163892E1,6.626324E-1,-3.175976E-4,,,,,,,,
1.167227E1,6.797992E-1,-1.552204E-4,,,,,,,,
1.170562E1,6.966697E-1,-1.152914E-5,,,,,,,,
1.173896E1,7.144039E-1,-1.294963E-4,,,,,,,,
1.177231E1,7.324927E-1,7.579283E-4,,,,,,,,
1.180566E1,7.502603E-1,7.991210E-4,,,,,,,,
1.183901E1,7.689031E-1,6.633222E-4,,,,,,,,
1.187236E1,7.873666E-1,6.642839E-4,,,,,,,,
1.190571E1,8.063367E-1,6.622728E-4,,,,,,,,
1.193906E1,8.253630E-1,5.956379E-4,,,,,,,,
1.197241E1,8.453235E-1,5.601104E-4,,,,,,,,
1.200576E1,8.644187E-1,6.435803E-4,,,,,,,,
1.203911E1,8.848944E-1,4.824115E-4,,,,,,,,
1.207246E1,9.048458E-1,4.798087E-4,,,,,,,,
1.210581E1,9.256094E-1,3.755751E-4,,,,,,,,
1.213916E1,9.457271E-1,2.679227E-4,,,,,,,,
1.217251E1,9.668617E-1,3.044295E-4,,,,,,,,
1.220586E1,9.878403E-1,4.155713E-4,,,,,,,,
