t,r,v,a,ang,v_ang
2.673,0.180,,,0.0,
2.690,0.180,0.937,,-4.5,-297.9
2.707,0.181,1.309,23.51,-10.0,-417.2
2.723,0.181,1.709,26.39,-18.5,-544.6
2.740,0.180,1.983,21.04,-28.3,-634.5
2.757,0.180,2.090,19.60,-39.8,-667.2
2.774,0.181,1.894,23.01,-50.7,-605.9
2.791,0.180,1.741,22.42,-60.2,-555.3
2.807,0.180,2.012,24.87,-69.4,-641.2
2.824,0.181,2.273,24.47,-81.8,-727.3
2.841,0.181,2.118,26.92,-93.9,-676.9
2.858,0.180,2.014,24.39,-104.5,-642.1
2.875,0.181,2.141,24.16,-115.4,-685.7
2.892,0.181,2.144,23.09,-127.6,-686.8
2.908,0.179,1.866,24.27,-138.5,-595.1
2.925,0.181,1.897,21.19,-147.6,-609.6
2.942,0.179,2.031,21.31,-159.0,-650.3
2.959,0.179,1.941,21.24,-169.5,-625.4
2.976,0.179,1.883,19.14,-180.1,-606.4
2.992,0.178,1.791,17.06,-189.8,-576.6
3.009,0.179,1.732,17.93,-199.4,-556.7
3.026,0.180,1.715,18.34,-208.6,-551.6
3.043,0.179,1.787,16.93,-218.0,-572.9
3.060,0.179,1.743,17.03,-227.8,-560.4
3.076,0.179,1.662,18.34,-236.8,-534.2
3.093,0.178,1.743,15.13,-245.8,-561.7
3.110,0.178,1.682,15.36,-255.7,-543.3
3.127,0.178,1.738,16.56,-264.1,-560.4
3.144,0.179,1.812,15.89,-274.6,-585.7
3.160,0.179,1.649,18.74,-283.7,-529.9
3.177,0.179,1.565,14.38,-292.4,-504.0
3.194,0.178,1.548,13.07,-300.7,-497.7
3.211,0.179,1.480,11.81,-309.1,-476.1
3.228,0.179,1.446,13.47,-316.7,-464.0
3.245,0.179,1.537,12.94,-324.7,-493.6
3.261,0.179,1.543,12.80,-333.3,-494.6
3.278,0.179,1.561,12.78,-341.3,-499.6
3.295,0.180,1.542,13.61,-350.1,-493.1
3.312,0.180,1.545,15.55,-357.9,-492.2
3.329,0.181,1.612,13.02,-366.6,-515.7
3.345,0.180,1.602,13.75,-375.3,-509.4
3.362,0.181,1.580,13.86,-383.8,-504.2
3.379,0.181,1.582,15.33,-392.2,-503.3
3.396,0.181,1.625,13.99,-400.7,-516.6
3.413,0.181,1.660,15.27,-409.6,-527.9
3.429,0.181,1.677,16.67,-418.4,-532.9
3.446,0.181,1.624,14.52,-427.5,-517.3
3.463,0.180,1.598,14.46,-435.8,-507.7
3.480,0.181,1.532,11.66,-444.6,-490.3
3.497,0.179,1.518,14.57,-452.3,-481.8
3.514,0.181,1.553,13.00,-460.8,-497.5
3.530,0.180,1.557,15.82,-469.0,-495.6
3.547,0.180,1.665,12.97,-477.4,-533.2
3.564,0.180,1.661,15.04,-487.0,-531.3
3.581,0.180,1.486,14.71,-495.3,-475.6
3.598,0.179,1.443,11.94,-503.0,-461.9
3.614,0.180,1.432,12.39,-510.8,-459.3
3.631,0.179,1.537,13.47,-518.4,-492.2
3.648,0.180,1.570,13.70,-527.4,-504.4
3.665,0.179,1.567,13.43,-535.4,-502.2
3.682,0.179,1.512,12.90,-544.3,-485.7
3.698,0.179,1.522,13.91,-551.7,-489.2
3.715,0.179,1.412,11.99,-560.7,-453.8
3.732,0.178,1.279,10.40,-567.0,-411.7
3.749,0.178,1.456,12.29,-574.6,-468.0
3.766,0.179,1.482,12.70,-582.7,-478.6
3.782,0.178,1.432,12.35,-590.6,-461.1
3.799,0.178,1.421,8.615,-598.2,-459.5
3.816,0.178,1.394,10.19,-606.1,-449.3
3.833,0.179,1.368,11.46,-613.3,-440.6
3.850,0.179,1.364,12.26,-620.9,-437.9
3.867,0.179,1.419,11.67,-628.0,-455.7
3.883,0.179,1.472,10.73,-636.2,-473.1
3.900,0.179,1.369,11.32,-643.9,-439.2
3.917,0.179,1.355,10.32,-651.0,-435.0
3.934,0.179,1.367,10.30,-658.6,-438.7
3.951,0.179,1.375,10.77,-665.8,-440.4
3.967,0.180,1.284,9.626,-673.4,-412.0
3.984,0.179,1.256,10.63,-679.6,-401.5
4.001,0.180,1.335,9.833,-686.9,-429.0
4.018,0.179,1.335,10.60,-694.0,-427.9
4.035,0.179,1.359,9.433,-701.3,-437.5
4.051,0.178,1.372,7.904,-708.7,-442.0
4.068,0.178,1.333,9.279,-716.1,-426.3
4.085,0.180,1.285,10.66,-723.1,-411.7
4.102,0.180,1.326,11.11,-730.0,-422.3
4.119,0.180,1.335,9.771,-737.3,-425.6
4.136,0.181,1.336,10.79,-744.3,-425.7
4.152,0.180,1.381,11.43,-751.6,-439.7
4.169,0.180,1.374,10.93,-759.0,-439.3
4.186,0.179,1.355,10.07,-766.4,-433.0
4.203,0.179,1.351,8.844,-773.6,-433.6
4.220,0.179,1.348,10.28,-780.9,-432.7
4.236,0.179,1.352,10.38,-788.2,-434.4
4.253,0.179,1.359,7.992,-795.5,-436.6
4.270,0.179,1.388,10.06,-802.8,-442.6
4.287,0.181,1.397,12.80,-810.4,-447.3
4.304,0.180,1.436,12.52,-817.9,-456.6
4.320,0.180,1.378,9.901,-825.8,-439.3
4.337,0.180,1.305,12.75,-832.6,-415.6
4.354,0.180,1.395,11.36,-839.7,-446.3
4.371,0.179,1.507,9.578,-847.6,-479.8
4.388,0.181,1.461,11.08,-855.9,-467.3
4.405,0.181,1.357,13.08,-863.4,-431.5
4.421,0.181,1.342,10.05,-870.4,-426.7
4.438,0.181,1.370,10.25,-877.7,-435.1
4.455,0.181,1.376,12.74,-885.0,-436.6
4.472,0.181,1.322,11.14,-892.4,-421.6
4.489,0.179,1.284,7.450,-899.2,-408.4
4.505,0.179,1.308,6.771,-906.1,-418.4
4.522,0.180,1.313,10.38,-913.3,-419.7
4.539,0.180,1.293,10.56,-920.2,-412.2
4.556,0.180,1.287,10.37,-927.1,-410.8
4.573,0.180,1.352,11.30,-934.0,-432.2
4.589,0.179,1.285,8.008,-941.6,-412.7
4.606,0.177,1.274,6.967,-947.9,-407.7
4.623,0.179,1.323,8.034,-955.4,-425.3
4.640,0.180,1.252,11.60,-962.2,-401.0
4.657,0.179,1.235,9.622,-968.8,-395.0
4.673,0.179,1.310,11.32,-975.5,-420.0
4.690,0.179,1.353,10.11,-983.0,-435.6
4.707,0.177,1.292,8.777,-990.1,-416.0
4.724,0.177,1.267,7.537,-996.9,-410.3
4.741,0.177,1.264,8.749,-1003.9,-409.2
4.758,0.177,1.237,6.868,-1010.7,-400.2
4.774,0.178,1.200,7.905,-1017.4,-385.8
4.791,0.179,1.183,9.819,-1023.7,-380.6
4.808,0.179,1.121,9.328,-1030.2,-359.4
4.825,0.178,1.124,7.435,-1035.8,-360.9
4.842,0.179,1.227,7.524,-1042.3,-394.9
4.858,0.178,1.232,8.350,-1049.0,-395.8
4.875,0.179,1.230,8.760,-1055.6,-395.2
4.892,0.179,1.233,8.200,-1062.3,-395.9
4.909,0.179,1.268,8.500,-1068.9,-405.9
4.926,0.180,1.280,8.953,-1076.0,-410.3
4.942,0.180,1.323,9.715,-1082.7,-421.2
4.959,0.181,1.316,9.671,-1090.1,-419.3
4.976,0.181,1.242,10.99,-1096.8,-394.6
4.993,0.181,1.230,8.850,-1103.4,-390.9
5.010,0.180,1.243,8.034,-1110.0,-395.5
5.027,0.180,1.211,8.162,-1116.7,-385.6
5.043,0.180,1.210,8.703,-1122.9,-385.8
5.060,0.180,1.269,8.611,-1129.7,-404.9
5.077,0.180,1.277,8.415,-1136.6,-407.5
5.094,0.180,1.270,9.254,-1143.4,-405.2
5.111,0.180,1.254,9.380,-1150.2,-400.2
5.127,0.180,1.259,8.663,-1156.8,-401.8
5.144,0.180,1.282,8.001,-1163.7,-409.3
5.161,0.180,1.272,8.771,-1170.6,-405.8
5.178,0.180,1.265,10.02,-1177.3,-403.1
5.195,0.180,1.266,9.437,-1184.1,-404.0
5.211,0.180,1.261,7.742,-1190.9,-401.9
5.228,0.180,1.267,7.285,-1197.7,-403.6
5.245,0.181,1.246,10.41,-1204.5,-396.4
5.262,0.181,1.270,10.60,-1211.0,-404.2
5.279,0.180,1.287,8.454,-1218.1,-409.4
5.295,0.180,1.238,7.958,-1224.7,-394.9
5.312,0.180,1.208,8.433,-1231.3,-385.6
5.329,0.180,1.203,8.463,-1237.7,-384.0
5.346,0.180,1.220,11.97,-1244.3,-389.5
5.363,0.180,1.386,10.62,-1250.8,-444.0
5.380,0.179,1.420,9.253,-1259.2,-455.2
5.396,0.179,1.255,10.73,-1266.1,-403.0
5.413,0.179,1.236,8.870,-1272.7,-397.2
5.430,0.179,1.237,8.376,-1279.5,-397.6
5.447,0.179,1.210,8.389,-1286.1,-388.7
5.464,0.179,1.193,9.403,-1292.5,-383.8
5.480,0.178,1.307,8.896,-1299.0,-420.2
5.497,0.179,1.315,8.499,-1306.7,-423.1
5.514,0.179,1.172,9.377,-1313.2,-376.5
5.531,0.179,1.175,7.781,-1319.3,-377.1
5.548,0.179,1.157,9.465,-1325.9,-371.1
5.564,0.179,1.173,8.782,-1331.8,-377.1
5.581,0.178,1.211,6.895,-1338.6,-389.7
5.598,0.178,1.159,6.973,-1344.9,-374.1
5.615,0.178,1.175,7.236,-1351.2,-379.6
5.632,0.178,1.166,7.576,-1357.7,-376.4
5.649,0.178,1.169,6.866,-1363.8,-377.5
5.665,0.178,1.158,6.935,-1370.4,-372.5
5.682,0.179,1.136,8.006,-1376.4,-365.0
5.699,0.179,1.190,8.257,-1382.6,-381.6
5.716,0.179,1.181,7.614,-1389.2,-378.1
5.733,0.179,1.151,7.670,-1395.3,-368.1
5.749,0.180,1.180,7.649,-1401.6,-377.0
5.766,0.180,1.172,6.731,-1408.0,-374.0
5.783,0.180,1.107,7.374,-1414.1,-351.9
5.800,0.181,1.118,8.104,-1419.8,-355.5
5.817,0.181,1.169,8.540,-1426.1,-371.0
5.833,0.181,1.179,8.823,-1432.3,-374.4
5.850,0.181,1.193,8.507,-1438.7,-380.3
5.867,0.179,1.189,7.081,-1445.1,-378.9
5.884,0.179,1.146,6.428,-1451.4,-366.9
5.901,0.179,1.133,5.814,-1457.4,-363.2
5.917,0.179,1.158,6.709,-1463.6,-369.3
5.934,0.181,1.163,8.624,-1469.9,-371.2
5.951,0.181,1.162,9.469,-1476.1,-370.1
5.968,0.180,1.169,7.851,-1482.3,-372.4
5.985,0.180,1.173,7.178,-1488.6,-374.9
6.002,0.179,1.166,7.095,-1494.9,-372.9
6.018,0.179,1.174,7.178,-1501.2,-375.7
6.035,0.179,1.183,7.766,-1507.5,-378.6
6.052,0.179,1.175,7.464,-1513.9,-376.2
6.069,0.179,1.168,6.693,-1520.2,-373.6
6.086,0.180,1.152,7.238,-1526.5,-367.4
6.102,0.180,1.166,7.970,-1532.5,-371.5
6.119,0.181,1.185,8.127,-1538.9,-376.9
6.136,0.181,1.176,7.739,-1545.2,-373.4
6.153,0.181,1.181,10.07,-1551.5,-374.8
6.170,0.181,1.207,8.925,-1557.8,-384.5
6.186,0.179,1.195,6.853,-1564.4,-380.3
6.203,0.179,1.141,6.003,-1570.6,-365.5
6.220,0.179,1.144,8.408,-1576.7,-366.3
6.237,0.179,1.203,7.615,-1582.9,-385.5
6.254,0.179,1.200,7.679,-1589.7,-384.3
6.271,0.179,1.135,7.776,-1595.8,-364.1
6.287,0.179,1.140,7.202,-1601.9,-365.0
6.304,0.179,1.140,6.888,-1608.1,-365.4
6.321,0.179,1.149,9.797,-1614.2,-367.9
