t,r,v,a,ang,v_ang
11.986,0.180,,,0.0,
12.003,0.180,0.140,,-0.2,-43.4
12.020,0.181,0.473,21.86,-1.5,-147.1
12.037,0.183,0.891,23.63,-5.1,-281.4
12.054,0.182,1.233,24.49,-10.9,-388.4
12.070,0.182,1.578,17.94,-18.2,-501.9
12.087,0.179,1.681,11.32,-27.8,-537.1
12.104,0.177,1.502,11.11,-36.3,-485.3
12.121,0.177,1.503,15.95,-44.1,-488.4
12.138,0.177,1.675,18.47,-52.7,-547.4
12.154,0.175,1.782,13.76,-62.5,-582.8
12.171,0.175,1.680,17.53,-72.3,-552.7
12.188,0.175,1.482,18.34,-81.1,-490.2
12.205,0.173,1.540,15.02,-88.7,-509.6
12.222,0.171,1.581,10.04,-98.2,-530.5
12.238,0.170,1.573,13.80,-106.6,-527.3
12.255,0.172,1.616,15.58,-116.0,-547.0
12.272,0.170,1.573,18.22,-125.0,-530.5
12.289,0.169,1.520,14.71,-133.8,-517.6
12.306,0.167,1.600,10.53,-142.4,-548.7
12.323,0.166,1.491,9.968,-152.2,-512.4
12.339,0.168,1.385,15.49,-159.6,-475.1
12.356,0.169,1.441,19.06,-168.2,-496.7
12.373,0.166,1.574,14.36,-176.3,-542.1
12.390,0.164,1.585,12.75,-186.4,-552.3
12.407,0.164,1.405,15.69,-194.9,-494.1
12.423,0.162,1.445,12.54,-203.1,-510.0
12.440,0.161,1.496,11.19,-212.0,-533.6
12.457,0.161,1.472,10.58,-221.0,-528.2
12.474,0.160,1.407,11.97,-229.8,-501.9
12.491,0.162,1.404,14.54,-237.9,-503.0
12.507,0.161,1.499,15.18,-246.7,-535.4
12.524,0.160,1.409,14.74,-255.9,-505.1
12.541,0.159,1.398,13.14,-263.7,-504.9
12.558,0.157,1.449,12.11,-272.9,-526.7
12.575,0.157,1.395,11.70,-281.4,-512.4
12.591,0.155,1.388,12.81,-290.1,-511.4
12.608,0.155,1.381,13.31,-298.6,-514.4
12.625,0.153,1.446,14.39,-307.4,-539.8
12.642,0.153,1.541,14.38,-316.7,-580.4
12.659,0.152,1.551,13.97,-326.9,-589.2
12.676,0.150,1.469,14.37,-336.5,-556.9
12.692,0.151,1.342,13.59,-345.6,-513.1
12.709,0.151,1.357,15.16,-353.8,-518.7
12.726,0.149,1.563,13.82,-363.1,-597.0
12.743,0.151,1.548,15.37,-373.9,-596.2
12.760,0.150,1.443,16.51,-383.1,-552.3
12.776,0.150,1.420,12.11,-392.4,-546.7
12.793,0.149,1.368,18.58,-401.5,-526.6
12.810,0.149,1.532,16.71,-410.1,-596.6
12.827,0.146,1.580,11.49,-421.5,-616.4
12.844,0.145,1.482,12.24,-430.9,-581.8
12.860,0.147,1.484,16.07,-441.1,-583.4
12.877,0.147,1.459,18.16,-450.5,-571.2
12.894,0.147,1.480,17.08,-460.3,-580.7
12.911,0.146,1.504,15.09,-470.0,-595.7
12.928,0.144,1.473,13.76,-480.3,-585.1
12.945,0.144,1.393,13.34,-489.7,-559.0
12.961,0.143,1.395,14.15,-499.1,-561.3
12.978,0.142,1.374,13.62,-508.5,-555.6
12.995,0.141,1.352,13.04,-517.8,-549.4
13.012,0.141,1.352,19.10,-527.0,-552.3
13.029,0.140,1.457,16.58,-536.4,-605.4
13.045,0.134,1.449,12.27,-547.4,-604.9
13.062,0.133,1.282,10.43,-556.7,-553.3
13.079,0.132,1.215,10.99,-566.0,-524.7
13.096,0.133,1.200,12.97,-574.4,-522.1
13.113,0.132,1.283,13.61,-583.5,-558.4
13.129,0.131,1.280,11.80,-593.1,-561.2
13.146,0.130,1.219,11.89,-602.4,-538.5
13.163,0.129,1.241,12.99,-611.2,-552.4
13.180,0.128,1.251,12.62,-621.0,-562.4
13.197,0.126,1.226,12.15,-630.1,-554.3
13.214,0.125,1.242,8.778,-639.6,-570.8
13.230,0.124,1.205,10.94,-649.3,-554.5
13.247,0.125,1.195,14.77,-658.3,-554.2
13.264,0.124,1.270,15.02,-668.0,-592.1
13.281,0.121,1.301,15.61,-678.2,-610.6
13.298,0.121,1.311,12.23,-688.5,-631.5
13.314,0.117,1.280,8.417,-699.4,-617.8
13.331,0.117,1.219,8.846,-709.3,-591.9
13.348,0.120,1.242,14.80,-719.3,-603.0
13.365,0.120,1.253,15.96,-729.5,-603.5
13.382,0.119,1.255,13.10,-739.6,-605.8
13.398,0.119,1.260,12.81,-749.9,-608.5
13.415,0.119,1.223,12.25,-760.0,-592.4
13.432,0.119,1.285,13.08,-769.8,-618.5
13.449,0.120,1.292,14.56,-780.8,-625.0
